GTEX_ID	File_Name	Google_URL	AWS_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	md5sum	File size	Assignment
GTEX-13RTK-0003-SM-6WSCZ	GTEX-13RTK-0003-SM-6WSCZ.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13RTK-0003-SM-6WSCZ.cram		dg.4503/a7275720-3638-41cf-bbae-7627a716dab2			dos://dg.4503/a7275720-3638-41cf-bbae-7627a716dab2	30647f25c78bdbc4dc3d89d003b39ede	55249492479	Xenon
GTEX-13S7M-0003-SM-6WSAH	GTEX-13S7M-0003-SM-6WSAH.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13S7M-0003-SM-6WSAH.crai		dg.4503/71581c35-8fa5-4ff4-8537-60413f2567b9			dos://dg.4503/71581c35-8fa5-4ff4-8537-60413f2567b9	b5cc088015f1a26d579f77647725e7ae	1632304	Xenon
GTEX-13S7M-0003-SM-6WSAH	GTEX-13S7M-0003-SM-6WSAH.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13S7M-0003-SM-6WSAH.cram		dg.4503/af2bcfe5-88f1-481c-81d2-62fd16d11435			dos://dg.4503/af2bcfe5-88f1-481c-81d2-62fd16d11435	e4a6b7c6af63aa868da85be1c14de40e	51303449625	Xenon
GTEX-13S86-0003-SM-6WSCT	GTEX-13S86-0003-SM-6WSCT.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13S86-0003-SM-6WSCT.crai		dg.4503/597e2740-4520-4841-9ab6-bdf75f0fc9c5			dos://dg.4503/597e2740-4520-4841-9ab6-bdf75f0fc9c5	2af20852df3facd76da3232ca88ebcba	1578926	Xenon
GTEX-13S86-0003-SM-6WSCT	GTEX-13S86-0003-SM-6WSCT.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13S86-0003-SM-6WSCT.cram		dg.4503/21e3a0b1-297f-4d69-b878-8afa67831f9a			dos://dg.4503/21e3a0b1-297f-4d69-b878-8afa67831f9a	4aa93a3c6cad7ca2ab55053f078a2bda	51000941338	Xenon
GTEX-13SLW-0003-SM-6WSAP	GTEX-13SLW-0003-SM-6WSAP.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13SLW-0003-SM-6WSAP.crai		dg.4503/4602192d-273d-4d70-97f6-0727e316f6c2			dos://dg.4503/4602192d-273d-4d70-97f6-0727e316f6c2	cab6aefbfdc7bf9531c8e7655fe25fa7	1582508	Xenon
GTEX-13SLW-0003-SM-6WSAP	GTEX-13SLW-0003-SM-6WSAP.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13SLW-0003-SM-6WSAP.cram		dg.4503/187dea9a-64c9-4deb-8332-e064e661d6b7			dos://dg.4503/187dea9a-64c9-4deb-8332-e064e661d6b7	41198f7902970112cd9427cbad66bc41	51567705348	Xenon
GTEX-13SLX-0003-SM-6WSAO	GTEX-13SLX-0003-SM-6WSAO.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13SLX-0003-SM-6WSAO.crai		dg.4503/4f46e0f9-1fc5-46a2-a6c9-84ebeac953c9			dos://dg.4503/4f46e0f9-1fc5-46a2-a6c9-84ebeac953c9	040b17900a188ca319fa1b870bf401aa	1609673	Xenon
GTEX-13SLX-0003-SM-6WSAO	GTEX-13SLX-0003-SM-6WSAO.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13SLX-0003-SM-6WSAO.cram		dg.4503/35479864-aef0-473e-91ac-92f5846879f9			dos://dg.4503/35479864-aef0-473e-91ac-92f5846879f9	c532a34b0b4494e3465e2a0564d3c252	54509900242	Xenon
GTEX-13U4I-0004-SM-6WSAN	GTEX-13U4I-0004-SM-6WSAN.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13U4I-0004-SM-6WSAN.crai		dg.4503/849c8f0b-27f2-46df-bca5-dfead416c546			dos://dg.4503/849c8f0b-27f2-46df-bca5-dfead416c546	797883150b62e42de89e8e21c52d9e7c	1597645	Xenon
