This is a list of identifiers associated with the topmed public 107 data set.													
The original manifest was found here: gs://topmed-irc-share/public/TOPMed.public_samples.manifest.2017.11.30.txt													
													
NWD_ID	HapMap_1000G_ID	SEQ_CTR	Google_URL	S3_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	CRAI_URL	md5sum	Assignment	realigned_md5sum
NWD263474	NA19238	NYGC	gs://topmed-irc-share/public/NWD263474.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/098b40f5-34f7-5f1b-a0c4-4d12a5846b34/NWD263474.recab.cram.crai	ark:/99999/fk41KLX1i43VjvIz	dg.4503/1ba9e375-d7e8-49e0-ba6d-2bebc48c10a8	2dc4f4d888c94a22b27f92fb7cf5a02b		dos://dos.commons.ucsc-cgp.org/1ba9e375-d7e8-49e0-ba6d-2bebc48c10a8?version=2018-05-26T134316.042284Z	crai	f51e3eb4b7e5494ca80bd10863b7f579	Argon	
NWD285363	NA19238	Broad	gs://topmed-irc-share/public/NWD285363.recab.cram	s3://cgp-commons-public/topmed_open_access/5120d264-b848-5419-b84a-fb9d58bb77a2/NWD285363.recab.cram	ark:/99999/fk4EBhEdLDbSOJo	dg.4503/eb867176-0a7d-4495-a348-27747fc0797d	4cf8c09316da4c05858f2420d27d483f		dos://dos.commons.ucsc-cgp.org/eb867176-0a7d-4495-a348-27747fc0797d?version=2018-05-26T133720.531041Z	cram	93a48ca0df3a0bfb95908e89193bee59	Argon	
NWD285363	NA19238	Broad	gs://topmed-irc-share/public/NWD285363.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/5120d264-b848-5419-b84a-fb9d58bb77a2/NWD285363.recab.cram.crai	ark:/99999/fk4EBhEdLDbSOJo	dg.4503/14eb31dc-8851-497b-bf6e-17d81b60cc3b	0a55250e80334a01b5d0d7ef7ed02b23		dos://dos.commons.ucsc-cgp.org/14eb31dc-8851-497b-bf6e-17d81b60cc3b?version=2018-05-26T134316.105689Z	crai	06353b5cc92375537e37396f67b2e085	Argon	
NWD290849	NA19238	NYGC	gs://topmed-irc-share/public/NWD290849.recab.cram	s3://cgp-commons-public/topmed_open_access/4654080c-9a94-5fcf-a69c-c73059169207/NWD290849.recab.cram	ark:/99999/fk4xxwIVqeBtmgi	dg.4503/6e1c2aac-24ba-4a99-b14a-752a142ef42f	7207b8d241b2484e84fb7de718f446ab		dos://dos.commons.ucsc-cgp.org/6e1c2aac-24ba-4a99-b14a-752a142ef42f?version=2018-05-26T133720.590495Z	cram	4565a91cf3d8a2a43137b6b16d90433b	Argon	
NWD290849	NA19238	NYGC	gs://topmed-irc-share/public/NWD290849.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/4654080c-9a94-5fcf-a69c-c73059169207/NWD290849.recab.cram.crai	ark:/99999/fk4xxwIVqeBtmgi	dg.4503/46df9ac5-0e72-4aa5-8e6b-6b55b362c29a	c517c79d749b47c6a8570dd644380a41		dos://dos.commons.ucsc-cgp.org/46df9ac5-0e72-4aa5-8e6b-6b55b362c29a?version=2018-05-26T134316.170044Z	crai	b907979cdb02e90d2793548184518081	Argon	
NWD293295	NA19238	NYGC	gs://topmed-irc-share/public/NWD293295.recab.cram	s3://cgp-commons-public/topmed_open_access/06c4bd47-c8e2-5045-8bae-bfad24633c87/NWD293295.recab.cram	ark:/99999/fk4KGjtAtZjVQtf	dg.4503/5492e62f-d952-44b7-b69f-61fed8c2f34f	b075de6db4ea40c28454c556646702a6		dos://dos.commons.ucsc-cgp.org/5492e62f-d952-44b7-b69f-61fed8c2f34f?version=2018-05-26T133720.653186Z	cram	97f12e223e37379820d74354338a4f58	Argon	
NWD293295	NA19238	NYGC	gs://topmed-irc-share/public/NWD293295.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/06c4bd47-c8e2-5045-8bae-bfad24633c87/NWD293295.recab.cram.crai	ark:/99999/fk4KGjtAtZjVQtf	dg.4503/21fd7c0a-4d87-4c57-9396-147d4c827b3f	4eb38fb9bae14900902f5e2d0b95fa2a		dos://dos.commons.ucsc-cgp.org/21fd7c0a-4d87-4c57-9396-147d4c827b3f?version=2018-05-26T134316.232174Z	crai	3a225f58729ac12d2d8e9142636ba6c9	Argon	
NWD296991	NA19238	Baylor	gs://topmed-irc-share/public/NWD296991.recab.cram	s3://cgp-commons-public/topmed_open_access/53b9a38c-3bf7-5c70-8586-283e57ff2a16/NWD296991.recab.cram	ark:/99999/fk49MLlRAVDcdL0	dg.4503/1efb2a8f-cea8-4b89-8abc-cdd4ec2ee181	13d873f1d38f4fa3978138910f59cb69		dos://dos.commons.ucsc-cgp.org/1efb2a8f-cea8-4b89-8abc-cdd4ec2ee181?version=2018-05-26T133720.713314Z	cram	b3c0acb1e3cf18e73ff1bae08bfac265	Argon	
NWD296991	NA19238	Baylor	gs://topmed-irc-share/public/NWD296991.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/53b9a38c-3bf7-5c70-8586-283e57ff2a16/NWD296991.recab.cram.crai	ark:/99999/fk49MLlRAVDcdL0	dg.4503/402450e6-6f53-433b-badb-db8ef5371687	9315a3710c3d49ccbf60ff32818e5870		dos://dos.commons.ucsc-cgp.org/402450e6-6f53-433b-badb-db8ef5371687?version=2018-05-26T134316.295417Z	crai	53f0768f63008f93e0795141491476b7	Argon	
NWD298195	NA12878	UW	gs://topmed-irc-share/public/NWD298195.recab.cram	s3://cgp-commons-public/topmed_open_access/67890b80-cddd-5090-9148-01c5e57c698b/NWD298195.recab.cram	ark:/99999/fk419NVLqOpfEch2	dg.4503/512567d0-38f9-4210-946b-7643a254adf5	eeb50c5b03fa4dbf848cccff43f5a3c5		dos://dos.commons.ucsc-cgp.org/512567d0-38f9-4210-946b-7643a254adf5?version=2018-05-26T133720.774293Z	cram	6e7ca4c436a75a59e6b1bdebb9bf2830	Argon	
NWD298195	NA12878	UW	gs://topmed-irc-share/public/NWD298195.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/67890b80-cddd-5090-9148-01c5e57c698b/NWD298195.recab.cram.crai	ark:/99999/fk419NVLqOpfEch2	dg.4503/5c8e1f2e-6e5a-45cc-a593-f045cb7bf73d	4d612ee43f684ee1bde59c8cc91de2de		dos://dos.commons.ucsc-cgp.org/5c8e1f2e-6e5a-45cc-a593-f045cb7bf73d?version=2018-05-26T134316.357090Z	crai	595225f47ec09f4af0d3852c4e4f5d8d	Argon	
NWD315195	NA12878	Broad	gs://topmed-irc-share/public/NWD315195.recab.cram	s3://cgp-commons-public/topmed_open_access/53616666-8c71-5db7-9e6d-fd9f7a14d518/NWD315195.recab.cram	ark:/99999/fk4LVB3F2bH75gr	dg.4503/688551f4-ccb6-484d-abcd-bae2ea0b4f13	9f7812ca05554b639337b1e75df9892d		dos://dos.commons.ucsc-cgp.org/688551f4-ccb6-484d-abcd-bae2ea0b4f13?version=2018-05-26T133720.834659Z	cram	672667330160da3b80c24bddfa68da14	Argon	
NWD315195	NA12878	Broad	gs://topmed-irc-share/public/NWD315195.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/53616666-8c71-5db7-9e6d-fd9f7a14d518/NWD315195.recab.cram.crai	ark:/99999/fk4LVB3F2bH75gr	dg.4503/69751068-3b97-47b6-8f90-53a57a228e5f	fffe2efc12314621ae523b3f2d3e235d/		dos://dos.commons.ucsc-cgp.org/69751068-3b97-47b6-8f90-53a57a228e5f?version=2018-05-26T134316.424289Z	crai	674399930ac9f43289aa0ec781fb3575	Argon	
