gtexid,input,output,size,md5,location,status,workflow_id
GTEX-ZYW4-0002-SM-6WBT8,ark:/57799/b9joFEI0OMQZfB,ark:/57799/b9Q7uZn2uXlG8y,2727,9d7dd3e3294b4693c4b01b7bed3c8e5b,https://bags.fair-research.org/15374773735869_1_15376884949667.outputs.bdbag.zip,COMPLETE,e39366c8e54cd4f4-62e1191ce6765c5a
GTEX-Z93S-0002-SM-6UH3P,ark:/57799/b9JLChLEnCnyT6,ark:/99999/fk48SgtNILP6qNE,2723,3f81128a47c6c2bdb1c19963b805de8a,https://bags.fair-research.org/15374773836679_1_15379404158119.outputs.bdbag.zip,COMPLETE,beca2f1c56957c19-16e4da50c663e1a4
GTEX-ZVE1-0001-SM-6WBSP,ark:/57799/b9YabeSfeJ36MO,ark:/57799/b9sSpiEyfWNLle,2721,bd0954ef1d4000b815697d54cf9026ca,https://bags.fair-research.org/15374797181083_1_15376968550465.outputs.bdbag.zip,COMPLETE,bc2033eba2ee1c28-8bf9e6a40131a57a
GTEX-ZVT3-0001-SM-6WBS5,ark:/57799/b91DFGY5ASCYCbB,,,,,RUNNING,5bb69a8e73a35546-c89bd7df0e11383b
GTEX-XQ3S-0002-SM-5JK42,ark:/57799/b9WM7rhdrY5FmT,ark:/57799/b98azprCrNkMgz,2724,aaa5593b5f1f06d08067c3a04b9439b5,https://bags.fair-research.org/15374800294590_1_15376686945696.outputs.bdbag.zip,COMPLETE,f46a539495dbaa01-d4aada994d92dbfc
GTEX-ZA64-0003-SM-6UH38,ark:/57799/b9UqnfwXGhzCk0,,,,,RUNNING,3d53c4ba4f1713e4-4eee8e670d2f60dd
GTEX-XBED-0004-SM-5URD9,ark:/57799/b9wVJSOZgxduFA,ark:/57799/b99ofM6Ry28KNP,2723,cbebca0211dd64b46bfe09f9b0b628ec,https://bags.fair-research.org/15374798256764_1_15376474389418.outputs.bdbag.zip,COMPLETE,7fbe1046e6b2614c-26cd5e97e8315ca8
GTEX-ZYVF-0004-SM-6WBSC,ark:/57799/b9GILe4ycahnJQ,ark:/57799/b9QrVviIXxdY55,2725,6cfda7ca9ec19dd796da5ca7fdf2cb75,https://bags.fair-research.org/15374797223731_1_15377594414737.outputs.bdbag.zip,COMPLETE,3243ddb1edec51ba-ff6759fe788c4955
GTEX-ZDTS-0002-SM-6UH3E,ark:/57799/b917kBU9BTWwSCp,ark:/57799/b9nc2mTrSZu43T,2718,bc8f56c0df38443d5804a8a6b8bb4985,https://bags.fair-research.org/15374799348562_1_15377040061537.outputs.bdbag.zip,COMPLETE,082c6249b91cd748-d21c2ed98d77b2e7
GTEX-XMK1-0003-SM-5URB9,ark:/57799/b91EVwnHOMXMKlm,ark:/57799/b9AXCSBXtHdjew,2725,6ca3b65d4080f1a9ca45b6ba5402eb86,https://bags.fair-research.org/15374797566723_1_15376447941741.outputs.bdbag.zip,COMPLETE,b0963ee2019a4409-b5dfe79368400be6
GTEX-ZYY3-0002-SM-6WBUF,ark:/57799/b9gCwo8mj342WG,ark:/57799/b9fa1j78Wmn3nr,2726,b5163430423f4538cbc7e5ee2801f74e,https://bags.fair-research.org/15374796672430_1_15376367181381.outputs.bdbag.zip,COMPLETE,acc7e342d110c426-c1ea73920d3ff406
GTEX-YFCO-0001-SM-6UH34,ark:/57799/b9mAI0N2Xu25Ub,,,,,RUNNING,06521dec89528561-d2423115d952092e
GTEX-Y3IK-0004-SM-6UH1D,ark:/57799/b91AZC2iPakLmtE,ark:/57799/b9T5KW6KZnPa09,2726,67b7b595ef1f6cd577120120d1ae5038,https://bags.fair-research.org/15374799710017_1_15376596648734.outputs.bdbag.zip,COMPLETE,80796e8b749ba2be-42f031083813a84f
GTEX-ZLV1-0003-SM-7DRPD,ark:/57799/b9vg1eRkALkbbD,ark:/57799/b9lQQitii7QYwt,2723,a2cfc1e055893b02ec7f9c2c18fa736b,https://bags.fair-research.org/15374795274167_1_15376103450971.outputs.bdbag.zip,COMPLETE,30a5cc92edf63d34-9537efb521d8ae5c
GTEX-ZPIC-0004-SM-6WBST,ark:/57799/b9znXO7DesYNEw,,,,,RUNNING,6e0ad5b6bbc0b3c7-e29b2f029993c017
GTEX-XUZC-0002-SM-5JK3R,ark:/57799/b9XvhWsvxl45Pa,ark:/57799/b9a6V1yJ5sf2pS,2728,77a236db32978f333b09edae1bbb942f,https://bags.fair-research.org/15374799691743_1_15376280383690.outputs.bdbag.zip,COMPLETE,1e40f013ea0eae4b-712de5914d1ce960
GTEX-YF7O-0002-SM-6UH3Q,ark:/57799/b9DAnP6xtyDGTr,,,,,RUNNING,9a94af038a4159bc-618fb1324244ce2e
GTEX-ZY6K-0002-SM-6WBT2,ark:/57799/b9ITBzICeDPGWq,ark:/57799/b9rnhH9wmyGxeo,2726,0f589f24fd51302ca68bc3af5e999617,https://bags.fair-research.org/15374799769606_1_15376441039720.outputs.bdbag.zip,COMPLETE,bd6c2b9db13b57cd-1202cb8e300b2537
GTEX-XGQ4-0001-SM-5SOEG,ark:/57799/b9Xv5Fpss2Vd11,ark:/57799/b91C6gWPJ0YQEL9,2724,a284411c5791f0389117b3684ccb6434,https://bags.fair-research.org/15374803042766_1_15377462930101.outputs.bdbag.zip,COMPLETE,3f7a14491da0d614-54f2978e99d80586
GTEX-Y3I4-0004-SM-6UH1C,ark:/57799/b9P6TshL51TCiv,,,,,RUNNING,ce7680c7724c8eea-bbb18d381b089e57
GTEX-XPT6-0004-SM-5URDL,ark:/57799/b9YmoRo239pAwf,ark:/57799/b92ldzx60Hak5F,2723,78c46108bcce71da93f661495da2fbff,https://bags.fair-research.org/15374800406877_1_15376568586042.outputs.bdbag.zip,COMPLETE,e914f8c378c28fbe-8e7e7fc67fb28c93
GTEX-Y5V6-0001-SM-6UH32,ark:/57799/b91KNnhJfNkH7ug,ark:/57799/b9djGzuqYR0ahr,2721,ba78f77ceac28ac9234b9c4f1ee326ad,https://bags.fair-research.org/15374799163747_1_15376061154859.outputs.bdbag.zip,COMPLETE,ea2469e44ca4fffa-fb3d383f8a7c99d7
GTEX-ZGAY-0002-SM-6UH3J,ark:/57799/b9PbTXubZwN7MR,ark:/57799/b93lKfnoOOqkqG,2723,29414138684ad557e48508220c77a494,https://bags.fair-research.org/15374801174197_1_15376542187280.outputs.bdbag.zip,COMPLETE,22880d4ab4c4ffa8-8f24616dd1d2934d
GTEX-Y8LW-0004-SM-6UH3N,ark:/57799/b9OnANOtjgfvxb,,,,,RUNNING,dc24a2d93e50bb17-3debe4ccf73daea0
GTEX-ZVZP-0003-SM-6WBSB,ark:/57799/b9Wi220k4xqaOm,ark:/57799/b91EqwaTVqTJzuO,2723,a55f99ed205e7b89d30e8d0c3cae9ceb,https://bags.fair-research.org/15374800596553_1_15377916071306.outputs.bdbag.zip,COMPLETE,0c2620448f13d190-c4401dbc0a0d50f7
GTEX-ZQUD-0002-SM-6WBSF,ark:/57799/b9dqWIVBoUTNh5,,,,,RUNNING,b983e062edda5ccc-cbd4bdb0e5d999dc
GTEX-ZYT6-0002-SM-6WBS2,ark:/57799/b915Sdqb9vgLEuK,ark:/57799/b96mdVitthGrbD,2726,da4879da5a2534da0971c9da6f430abe,https://bags.fair-research.org/15374801686424_1_15376304841487.outputs.bdbag.zip,COMPLETE,588a9dc771a955b7-1d6c73a30f5ac115
GTEX-ZXG5-0002-SM-6WBT1,ark:/57799/b9j2oehQ8ZxlEl,ark:/57799/b9mVITuKvC3BKg,2723,9562b61f0b6bf9657ade0a285393425e,https://bags.fair-research.org/15374801543544_1_15378010034583.outputs.bdbag.zip,COMPLETE,be6f05be03954287-6fadd0bbcfc7f583
GTEX-YFC4-0001-SM-6UH16,ark:/57799/b91XViWiDph9D6,ark:/57799/b91IIZSinohPNkf,2721,3857fa6372dfe9c379ab438a1652f86f,https://bags.fair-research.org/15374801059591_1_15376901807212.outputs.bdbag.zip,COMPLETE,fd194db2ce27a659-58f0486ca70b8f62
GTEX-ZF2S-0002-SM-6UH39,ark:/57799/b9h5N9ZgtuJmlp,ark:/57799/b9SbBJ31AyBD8b,2723,791f43fbaf94a5d75767c32a8727a0c0,https://bags.fair-research.org/15374802254449_1_15377360320288.outputs.bdbag.zip,COMPLETE,63d1f6ebb8f31294-8a1f24e666ca04cb
GTEX-XQ8I-0001-SM-5JK4O,ark:/57799/b9lESmL0lgvfw8,ark:/57799/b915BZtpskmHZlm,2721,817e515a99d1771fc1f862ad6d7e4ba5,https://bags.fair-research.org/15374801342213_1_15376331126433.outputs.bdbag.zip,COMPLETE,ff264d5c0e2c3d1b-62c0c74991097c82
